sale_id,date,product,region,quantity,unit_price,customer_id,sales_rep_id,total_amount,year,month
1,2024-09-22,Tablet,South,15,799.99,3443,29,11999.85,2024,9
2,2024-06-09,Phone,North,7,999.99,2232,45,6999.93,2024,6
3,2024-05-17,Tablet,West,8,299.99,2586,28,2399.92,2024,5
4,2023-01-14,Laptop,West,2,99.99,1144,40,199.98,2023,1
5,2024-10-13,Tablet,South,18,49.99,3467,11,899.82,2024,10
6,2023-12-30,Tablet,East,7,99.99,4420,19,699.93,2023,12
7,2023-04-29,Laptop,North,16,99.99,3352,1,1599.84,2023,4
8,2023-08-26,Phone,East,19,99.99,2807,9,1899.81,2023,8
9,2024-06-29,Tablet,West,9,99.99,4048,2,899.91,2024,6
10,2023-06-18,Monitor,East,12,199.99,1043,4,2399.88,2023,6
11,2024-06-05,Tablet,North,14,799.99,1106,29,11199.86,2024,6
12,2024-09-25,Phone,North,7,29.99,3028,4,209.92999999999998,2024,9
13,2024-10-18,Webcam,West,2,799.99,1149,1,1599.98,2024,10
14,2024-05-30,Mouse,South,17,799.99,4677,28,13599.83,2024,5
15,2024-02-01,Headphones,South,11,499.99,2287,18,5499.89,2024,2
16,2023-04-16,Laptop,West,18,99.99,1109,46,1799.82,2023,4
17,2023-03-26,Mouse,North,12,49.99,2041,13,599.88,2023,3
18,2023-08-02,Phone,South,3,499.99,1749,40,1499.97,2023,8
19,2023-05-01,Keyboard,East,14,999.99,4407,6,13999.86,2023,5
20,2023-05-12,Headphones,West,15,49.99,3286,49,749.85,2023,5
21,2023-07-16,Mouse,East,19,49.99,4957,43,949.8100000000001,2023,7
22,2023-01-19,Tablet,North,10,29.99,1723,47,299.9,2023,1
23,2024-10-03,Headphones,South,9,29.99,3790,39,269.90999999999997,2024,10
24,2023-01-12,Tablet,North,10,49.99,1327,22,499.90000000000003,2023,1
25,2023-03-22,Laptop,East,4,199.99,1861,30,799.96,2023,3
26,2023-11-26,Tablet,North,19,29.99,2317,27,569.81,2023,11
