id,join_key,value,category
1,B,562,cat3
2,H,432,cat3
3,A,14,cat2
4,A,66,cat2
5,A,610,cat1
6,A,140,cat1
7,C,6,cat2
8,A,432,cat1
9,A,394,cat1
10,A,915,cat3
11,C,815,cat2
12,A,726,cat1
13,C,394,cat1
14,A,121,cat3
15,A,973,cat2
16,A,242,cat1
17,B,211,cat1
18,B,571,cat3
19,A,102,cat2
20,B,48,cat2
21,A,720,cat3
22,A,872,cat1
23,B,817,cat2
24,A,70,cat3
25,B,549,cat1
26,A,783,cat1
27,A,835,cat2
28,H,696,cat3
29,C,230,cat2
30,A,752,cat2
31,A,269,cat3
32,C,412,cat2
33,A,802,cat3
34,B,318,cat1
35,A,693,cat2
36,A,261,cat2
37,A,815,cat3
38,A,794,cat3
39,A,548,cat2
40,G,989,cat1
41,A,109,cat3
42,A,890,cat2
43,A,702,cat2
44,C,541,cat2
45,A,225,cat2
46,A,798,cat1
47,A,856,cat3
48,A,338,cat3
49,A,329,cat2
50,C,563,cat2
51,A,274,cat3
52,B,884,cat1
53,A,799,cat2
54,A,543,cat3
55,B,984,cat2
56,C,456,cat2
57,B,222,cat3
58,B,57,cat3
59,C,685,cat3
60,B,177,cat1
61,A,551,cat1
62,G,335,cat3
63,A,740,cat3
64,A,363,cat3
65,A,306,cat1
66,F,30,cat1
67,A,353,cat3
68,F,679,cat1
69,A,567,cat2
70,A,57,cat2
71,H,731,cat1
72,D,8,cat2
73,B,920,cat1
74,A,155,cat3
75,A,285,cat3
76,H,873,cat2
77,A,89,cat3
78,A,820,cat1
79,A,388,cat2
80,B,381,cat1
81,A,943,cat1
82,A,889,cat1
83,A,605,cat2
84,C,156,cat2
85,A,272,cat2
86,A,446,cat1
87,A,453,cat2
88,A,8,cat3
89,H,59,cat1
90,A,700,cat3
91,A,46,cat2
92,A,183,cat2
93,A,376,cat2
94,H,965,cat1
95,A,31,cat2
96,C,368,cat1
97,A,530,cat1
98,B,806,cat1
99,A,320,cat3
100,A,440,cat3
101,B,353,cat3
102,B,411,cat1
103,A,64,cat2
104,A,246,cat3
105,A,656,cat2
106,B,122,cat3
107,A,808,cat1
108,A,561,cat2
109,A,53,cat3
110,B,506,cat2
111,A,816,cat3
112,A,847,cat1
113,A,354,cat3
114,B,507,cat3
115,B,50,cat3
116,D,201,cat2
117,C,914,cat3
118,B,638,cat3
119,C,40,cat1
120,A,848,cat2
121,A,718,cat3
122,E,57,cat3
123,C,924,cat1
124,A,176,cat3
125,B,112,cat2
126,B,141,cat1
127,C,765,cat1
128,A,438,cat3
129,A,930,cat2
130,A,345,cat3
131,B,751,cat2
132,A,296,cat1
133,F,944,cat2
134,A,704,cat2
135,A,80,cat1
136,A,924,cat1
137,A,169,cat3
138,A,680,cat1
139,B,188,cat1
140,B,770,cat1
141,A,211,cat1
142,A,940,cat3
143,A,26,cat2
144,B,810,cat2
145,C,470,cat1
146,G,772,cat2
147,A,498,cat3
148,A,562,cat3
